Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-07-05,42551,654489,38738,5652,209,1.09616706049
2020-07-04,52406,644930,38136,5628,306,1.09852388288
2020-07-03,57562,721054,37750,5589,635,1.1008226872799998
2020-07-02,53684,665084,37473,5624,670,1.1030335809799998
2020-07-01,52982,633259,36360,5509,701,1.10514066402
2020-06-30,44358,636693,35231,5421,596,1.1071018077700001
2020-06-29,36490,569394,33567,5378,330,1.10715020385
2020-06-28,42161,586369,32475,5245,271,1.10698213009
2020-06-27,43471,590877,32476,5311,509,1.10656340208
2020-06-26,44373,602947,31724,5279,636,1.10585725507
2020-06-25,39061,637587,31839,5315,2501,1.10482547529
2020-06-24,38706,512428,31083,5290,724,1.1034301442
2020-06-23,33018,501414,30229,5399,708,1.10163603812
2020-06-22,27080,464802,28789,5320,283,1.09941369233
2020-06-21,27257,512178,27948,5163,292,1.0967429442399999
2020-06-20,31958,566476,27962,5225,628,1.0936166300299999
2020-06-19,31055,571246,28639,5338,655,1.09004392483
2020-06-18,27512,517739,28409,5464,704,1.08605249661
2020-06-17,23871,488751,28561,5611,767,1.08168877802
2020-06-16,23638,467026,28264,5570,733,1.07701583533
2020-06-15,18655,447739,27778,5700,379,1.07210839946
2020-06-14,21240,478569,27860,5748,353,1.06618037718
2020-06-13,25134,499828,28510,5883,690,1.0601712835400001
2020-06-12,23481,594316,29150,6017,772,1.0541480154
2020-06-11,22051,459079,29696,6073,898,1.0481608685700001
2020-06-10,20764,429546,30847,6248,885,1.0422400590799998
2020-06-09,17156,420463,31157,6456,898,1.0363953688299998
2020-06-08,17168,403692,30615,6402,660,1.0306188165899999
2020-06-07,18774,446343,30893,6501,446,1.02488977335
2020-06-06,23038,482914,31468,6762,727,1.0191816366500002
2020-06-05,23363,509466,31868,6920,823,1.01346903902
2020-06-04,20828,462250,32233,7056,888,1.00773454637
2020-06-03,20314,467965,32661,7226,991,1.00197387309
2020-06-02,19996,419864,33328,7405,959,0.996198812167
2020-06-01,20379,413248,33694,7589,665,0.990437380508
2020-05-31,21672,399421,34337,7624,649,0.984731121806
2020-05-30,23842,427784,35202,7956,929,0.979130036159
2020-05-29,23485,491504,36412,8175,1179,0.973686089922
2020-05-28,22610,415315,37547,8389,1226,0.9684465485100001
2020-05-27,19395,310216,37771,8547,1318,0.963448364341
2020-05-26,16620,306714,37219,8585,640,0.9587145456939999
2020-05-25,18728,421768,37202,8472,555,0.954252942474
2020-05-24,20134,383233,37259,8487,678,0.9500573741060001
2020-05-23,21698,391568,38175,8733,1060,0.9461106290989999
2020-05-22,24519,411208,39395,9048,1335,0.942388646431
2020-05-21,26559,422062,40544,9090,1388,0.938865131139
2020-05-20,21537,408729,41567,9754,1392,0.9355159101549999
2020-05-19,20794,401108,41734,9829,1325,0.932322449634
2020-05-18,20976,356121,41540,9987,844,0.929274107676
2020-05-17,20286,373562,41653,10164,846,0.926368890121
2020-05-16,24664,363606,43434,10509,984,0.923612706254
