Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-04-04,33212,229260,29749,5383,1440,0.933790794259
2020-04-03,31896,132569,25234,4811,1259,0.938855565041
2020-04-02,28021,119025,22538,4410,1149,0.945078204253
2020-04-01,25750,108208,20517,3937,988,0.952756256789
2020-03-31,24708,112335,17910,3487,861,0.962266429493
2020-03-30,21927,118648,15616,3087,577,0.9740840810250001
2020-03-29,19605,87547,13868,2456,516,0.9888047657410001
2020-03-28,19696,106837,12217,2174,519,1.00716490644
2020-03-27,19051,103505,10820,1792,401,1.03005525269
2020-03-26,17648,101631,7651,1299,311,1.05851562272
2020-03-25,12853,84263,4971,,232,1.09369336973
2020-03-24,10631,68955,3828,,231,1.1367443371400001
2020-03-23,11449,58200,2770,,97,1.18866027834
2020-03-22,9251,45272,2155,,143,1.25002809445
2020-03-21,6883,45270,1436,,61,1.32076387138
2020-03-20,6252,36612,1042,,68,1.39990256329
2020-03-19,4665,27940,617,,46,1.48553398747
2020-03-18,3170,25089,416,,31,1.57493996663
2020-03-17,3604,17253,325,,22,1.6649199069799998
2020-03-16,1568,17869,,,21,1.75222862449
2020-03-15,1250,7622,,,15,1.8340178160900003
2020-03-14,921,4586,,,9,1.9081756375099999
2020-03-13,1028,9174,,,4,1.9734914858000001
2020-03-12,674,5265,,,8,2.02962823721
2020-03-11,529,3822,,,6,2.0769450035599997
2020-03-10,440,2494,,,2,2.11625168449
2020-03-09,366,1757,,,4,2.14857449368
2020-03-08,267,856,,,4,2.1749795435599997
2020-03-07,220,792,,,1,2.19646516673
2020-03-06,142,776,,,6,2.21391072451
2020-03-05,152,618,,,4,2.22806256233
2020-03-04,187,1093,,,2,2.23954009387
2020-03-03,101,248,,,3,2.24885057342
2020-03-02,82,193,,,3,2.25640629316
2020-03-01,88,83,,,3,2.2625410779400004
