Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-06-21,27465,518347,27718,5155,297,1.0386668347299999
2020-06-20,32325,583940,27757,5220,630,1.03721783355
2020-06-19,31327,578665,28392,5332,648,1.03551325727
2020-06-18,27406,466071,28185,5458,697,1.0335672123100001
2020-06-17,23885,488570,28311,5605,782,1.03140409629
2020-06-16,23498,464715,28028,5564,713,1.02905737052
2020-06-15,18521,449488,27115,5695,375,1.02656669697
2020-06-14,21486,485082,27247,5743,358,1.02320198169
2020-06-13,25344,508367,27902,5878,695,1.01977365959
2020-06-12,23318,594961,28524,6012,775,1.0163160725799998
2020-06-11,22023,448120,29064,6067,912,1.0128539660200002
2020-06-10,20749,422704,30203,6242,878,1.00940061471
2020-06-09,17166,415882,30547,6450,902,1.0059577494299998
2020-06-08,17123,399865,29969,6394,655,1.0025172336700001
2020-06-07,19307,445476,30299,6493,460,0.9990641629029999
2020-06-06,22355,477704,30909,6754,717,0.995580875734
2020-06-05,22990,504193,31335,6912,848,0.992051273066
2020-06-04,20566,460504,31659,7054,876,0.988464813748
2020-06-03,20189,467820,32081,7224,960,0.984819583044
2020-06-02,19940,420453,32728,7403,969,0.9811239252539999
2020-06-01,20251,413933,33160,7588,675,0.9773963178980001
2020-05-31,21566,399317,33840,7623,655,0.9736634485079999
2020-05-30,23712,427809,34650,7956,937,0.969956799263
2020-05-29,23365,492364,35871,8175,1178,0.966308364868
2020-05-28,22467,419799,36967,8389,1272,0.962746323116
2020-05-27,19300,307610,37251,8547,1271,0.959291475576
2020-05-26,16571,307652,36609,8585,635,0.955955078387
2020-05-25,18669,421668,36668,8472,562,0.952738362182
2020-05-24,20101,383143,36706,8487,678,0.9496337000339999
2020-05-23,21653,391606,37873,8812,1048,0.946627109903
2020-05-22,24452,412255,38802,9048,1287,0.943701612639
2020-05-21,26490,423137,39915,9090,1403,0.940840899016
2020-05-20,21469,410298,40884,9829,1387,0.938032762394
2020-05-19,20731,402319,41091,9829,1298,0.935271804421
2020-05-18,20915,357257,40869,9987,859,0.932561016812
2020-05-17,20256,373493,41108,10164,882,0.9299119982790001
2020-05-16,24627,363785,42896,10509,1266,0.9273437789700002
2020-05-15,24599,360803,42854,10704,1498,0.924880471798
2020-05-14,26601,366651,44075,10888,1878,0.922548201074
2020-05-13,21182,321472,44514,10978,1691,0.920371869949
2020-05-12,22587,310132,45199,11241,1475,0.918372346616
2020-05-11,18199,384003,44191,11147,872,0.916564492195
2020-05-10,21584,268006,44943,11393,1016,0.9149562081579999
2020-05-09,24708,291829,46637,11496,1440,0.913548463293
2020-05-08,27584,299973,47718,11780,1778,0.9123360825110001
2020-05-07,27500,303663,49130,12137,2733,0.9113090025830001
2020-05-06,24950,247383,50227,9380,1930,0.910453706663
2020-05-05,22398,272954,50906,9348,2438,0.909754610952
2020-05-04,22361,233242,50062,9366,1009,0.9091952598109999
2020-05-03,25769,236737,50312,9292,1210,0.9087592632960001
2020-05-02,29298,249297,51734,9403,1544,0.9084316040100001
2020-05-01,33043,297568,52370,9205,1746,0.908202472153
2020-04-30,29581,235443,53793,9486,2114,0.908059567566
2020-04-29,27140,240902,54930,9612,2692,0.907990287218
2020-04-28,25078,207869,54940,9491,2050,0.907972239504
2020-04-27,22016,198034,54971,9655,1219,0.908005753487
2020-04-26,27387,206592,55050,14831,1179,0.9080838683700001
2020-04-25,36001,278109,56344,15020,1712,0.9082008670389999
2020-04-24,34149,237070,56075,15078,1859,0.90836852629
2020-04-23,31749,194346,57889,15163,1761,0.9085908423989999
2020-04-22,28872,324492,58130,15341,2060,0.9088688392550001
2020-04-21,26278,153860,58579,15228,2426,0.909171248893
2020-04-20,25811,146494,55677,14691,1756,0.909483745335
2020-04-19,27387,153687,55570,14548,1735,0.909831349938
2020-04-18,27962,146212,56591,14788,1830,0.910217241228
2020-04-17,31979,159554,57808,14910,2081,0.910678351917
2020-04-16,30813,163453,58625,15150,2142,0.911305104109
2020-04-15,30224,138052,59260,14667,2486,0.9120640884160001
2020-04-14,25600,152127,58719,14039,2284,0.9129589774519999
2020-04-13,25224,133405,55295,13632,1566,0.913828079717
2020-04-12,27854,139309,54749,13623,1632,0.914831429895
2020-04-11,30603,138880,54757,13280,1996,0.915999363169
2020-04-10,34194,157467,51745,12698,2049,0.9173695991859999
2020-04-09,34382,169673,49826,12254,1977,0.918989139066
2020-04-08,30442,147434,44063,9932,1943,0.920916680298
2020-04-07,30562,154273,42294,9875,1954,0.923225698851
2020-04-06,28836,151484,34663,6943,1246,0.926008391138
2020-04-05,25471,119187,30905,5677,1277,0.9293807222820001
2020-04-04,33196,229252,29095,5383,1432,0.9334888908750001
2020-04-03,31852,132529,24564,4811,1257,0.938517589077
2020-04-02,27980,118993,21833,4410,1153,0.944700494485
2020-04-01,25711,108156,19982,3937,989,0.9523334389299999
2020-03-31,24671,112321,17856,3487,861,0.961790578948
2020-03-30,21887,118615,15574,3087,573,0.973543488464
2020-03-29,19585,87531,13833,2456,519,0.9881821348309999
2020-03-28,19678,106822,12179,2174,512,1.0064347703399998
2020-03-27,19024,103475,10789,1792,396,1.02918038522
2020-03-26,17629,101618,7617,1299,311,1.05744230142
2020-03-25,12838,84243,4971,,233,1.09234561287
2020-03-24,10612,68956,3828,,225,1.13501775769
2020-03-23,11440,58192,2770,,98,1.18641688554
2020-03-22,9244,45266,2155,,141,1.24709380133
2020-03-21,6877,45268,1436,,60,1.31693004418
2020-03-20,6240,36607,1042,,68,1.3949318410499998
2020-03-19,4660,27937,617,,45,1.4791705156900001
2020-03-18,3166,25087,416,,30,1.56692653496
2020-03-17,743,14297,325,,22,1.65502647391
2020-03-16,2248,18739,,,22,1.7402923869099998
2020-03-15,1708,8093,,,14,1.8199839661200001
2020-03-14,1284,4941,,,9,1.89212011243
2020-03-13,1382,9470,,,4,1.95561245888
2020-03-12,949,5545,,,8,2.0102090283000003
2020-03-11,724,4014,,,6,2.05630436165
2020-03-10,592,2580,,,2,2.0946990771
2020-03-09,488,1888,,,4,2.1263805511
2020-03-08,205,924,,,4,2.15236289612
2020-03-07,335,831,,,1,2.17359161312
2020-03-06,337,944,,,6,2.1908994239
2020-03-05,140,607,,,4,2.2049949793400003
2020-03-04,200,1104,,,2,2.21646906191
2020-03-03,101,247,,,3,2.22580820046
2020-03-02,81,189,,,3,2.2334102871
2020-03-01,88,85,,,3,2.23959952464
