Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-08-05,52265,681537,53339,9970,1403,0.9627305842739999
2020-08-04,51568,695586,53238,10208,1176,0.963329744077
2020-08-03,49561,731690,53303,10216,519,0.9639491039139999
2020-08-02,48266,713169,53922,10405,498,0.964593596149
2020-08-01,60692,726010,54484,10428,1189,0.965269366296
2020-07-31,67755,725982,55540,10472,1311,0.9659839533210001
2020-07-30,69466,805854,56464,10513,1259,0.9667464444700001
2020-07-29,66969,853326,57332,10539,1447,0.967567590554
2020-07-28,56229,735487,57091,10463,1121,0.968459884719
2020-07-27,55134,760840,59023,10328,1059,0.969437638864
2020-07-26,61713,855811,58614,10353,558,0.970517126703
2020-07-25,65413,797589,59227,10380,1037,0.9717168730069999
2020-07-24,75193,929838,59670,10405,1178,0.973058119608
2020-07-23,71027,824399,59885,10418,1039,0.974565377837
2020-07-22,69150,795502,59675,10457,1117,0.9762668260349999
2020-07-21,63642,750248,59362,6711,1038,0.978194218389
2020-07-20,56971,711015,58371,6558,362,0.9803820164560001
2020-07-19,64884,798508,57885,6384,526,0.9828656527609999
2020-07-18,65180,761632,57645,6396,872,0.985679137241
2020-07-17,77233,837392,57761,6453,951,0.9888525136669999
2020-07-16,70953,827564,57442,6359,974,0.992409777591
2020-07-15,65382,761997,56144,6317,858,0.9963676187780001
2020-07-14,62879,769982,55565,6235,736,1.00073494262
2020-07-13,58465,693576,53988,6074,327,1.0055131427600001
2020-07-12,60978,758324,52727,5930,476,1.0106976314899998
2020-07-11,63007,698444,51859,5939,757,1.0162809779200002
2020-07-10,66645,810806,51595,5896,854,1.02225610996
2020-07-09,58836,703050,43934,5845,867,1.0286161571999999
2020-07-08,62147,629102,43078,5874,897,1.03534906697
2020-07-07,51766,634791,41760,5832,922,1.0424300126100001
2020-07-06,41600,501201,39768,5684,242,1.04981763021
2020-07-05,45789,681450,38764,5653,209,1.0574570112200001
2020-07-04,54734,642171,38146,5633,306,1.06528620596
2020-07-03,54223,710949,37798,5597,597,1.07324131891
2020-07-02,53826,662316,37500,5626,697,1.08125773425
2020-07-01,50674,633286,36405,5512,701,1.0892813616700001
2020-06-30,47462,624063,35248,5424,596,1.0972744236399998
2020-06-29,39175,646824,33586,5380,330,1.1052182786799998
2020-06-28,41857,583898,32476,5248,271,1.11310442574
2020-06-27,43783,599386,32483,5315,509,1.12092432573
2020-06-26,44421,606747,31738,5283,636,1.12866937371
2020-06-25,39072,637148,31844,5319,2501,1.13630645932
2020-06-24,38684,519202,31102,5293,724,1.14379268269
2020-06-23,33021,491719,30235,5402,708,1.15105141074
2020-06-22,27017,466605,28799,5323,283,1.1579694204000002
2020-06-21,27284,511098,28219,5195,292,1.16445506646
2020-06-20,31994,559215,27967,5229,628,1.17040881248
2020-06-19,31046,573992,28615,5341,655,1.17576563335
2020-06-18,27527,516193,28414,5465,704,1.1804651237200001
2020-06-17,23873,485290,28573,5613,767,1.18447468702
2020-06-16,23435,464529,28270,5570,729,1.18779221642
2020-06-15,18510,432811,27867,5703,380,1.19040962532
2020-06-14,21373,485220,27893,5749,355,1.19231638286
2020-06-13,25341,496428,28450,5883,691,1.1934704778
2020-06-12,23477,623125,29154,6017,772,1.19381598324
2020-06-11,22032,459455,29698,6074,898,1.19334574232
2020-06-10,20803,428999,30864,6249,885,1.1920470171700002
2020-06-09,17175,419724,31183,6457,898,1.18992100872
2020-06-08,17012,395146,31202,6402,660,1.18693786244
2020-06-07,18823,422371,31408,6501,446,1.18308637471
2020-06-06,23106,543819,31938,6762,727,1.1783796885100002
2020-06-05,23352,506275,32451,6920,823,1.17281582196
2020-06-04,20839,460984,32835,7057,888,1.1664136418100002
2020-06-03,20312,466714,33269,7227,991,1.15916692863
2020-06-02,19982,418646,33933,7407,959,1.15110171073
2020-06-01,20415,412327,34285,7591,665,1.1422868374200001
2020-05-31,21639,396171,34859,7626,649,1.13283372203
2020-05-30,23762,425754,35732,7956,929,1.12287100575
2020-05-29,23522,487229,36999,8175,1179,1.1124926092799998
2020-05-28,22601,434470,38069,8389,1226,1.10177661106
2020-05-27,19385,308433,38373,8547,1318,1.09071411304
2020-05-26,16629,305932,37779,8585,640,1.0792756187299999
2020-05-25,18798,422588,37650,8472,555,1.06740579015
2020-05-24,20105,381505,37695,8487,678,1.0550622481799998
2020-05-23,21590,390000,38614,8733,1060,1.04225446205
2020-05-22,24555,409088,39989,9048,1335,1.02907646834
