Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-07-06,47375,518392,39749,5680,242,1.0934160398000001
2020-07-05,42578,655510,38734,5652,209,1.0957877433
2020-07-04,52406,644930,38136,5628,306,1.0981177179700001
2020-07-03,57562,721054,37750,5589,635,1.10038919752
2020-07-02,53684,665084,37473,5624,670,1.1025720683700002
2020-07-01,52982,633259,36360,5509,701,1.10465030345
2020-06-30,44358,636693,35231,5421,596,1.10658148087
2020-06-29,36490,569394,33567,5378,330,1.10660401115
2020-06-28,42161,586369,32475,5245,271,1.10640850323
2020-06-27,43471,590877,32476,5311,509,1.10596051114
2020-06-26,44373,602947,31724,5279,636,1.10522299469
2020-06-25,39061,637587,31839,5315,2501,1.1041574620999999
2020-06-24,38706,512428,31083,5290,724,1.1027257308
2020-06-23,33018,501414,30229,5399,708,1.1008923504700001
2020-06-22,27080,464802,28789,5320,283,1.09862769644
2020-06-21,27257,512178,27948,5163,292,1.0959115472499998
2020-06-20,31958,566476,27962,5225,628,1.09273681713
2020-06-19,31055,571246,28639,5338,655,1.08911292678
2020-06-18,27512,517739,28409,5464,704,1.0850679802399998
2020-06-17,23871,488751,28561,5611,767,1.08064904415
2020-06-16,23638,467026,28264,5570,733,1.07592000259
2020-06-15,18655,447739,27778,5700,379,1.0709565595000001
2020-06-14,21240,478569,27860,5748,353,1.06498706903
2020-06-13,25134,499828,28510,5883,690,1.05893879955
2020-06-12,23481,594316,29150,6017,772,1.05287967769
2020-06-11,22051,459079,29696,6073,898,1.04686092075
2020-06-10,20764,429546,30847,6248,885,1.04091351326
2020-06-09,17156,420463,31157,6456,898,1.0350478269299999
2020-06-08,17168,403692,30615,6402,660,1.02925628321
2020-06-07,18774,446343,30893,6501,446,1.0235184726
2020-06-06,23038,482914,31468,6762,727,1.01780784
2020-06-05,23363,509466,31868,6920,823,1.0120989068700001
2020-06-04,20828,462250,32233,7056,888,1.00637398435
2020-06-03,20314,467965,32661,7226,991,1.00062840531
2020-06-02,19996,419864,33328,7405,959,0.9948734763070001
2020-06-01,20379,413248,33694,7589,665,0.9891366523540001
2020-05-31,21672,399421,34337,7624,649,0.983458878461
2020-05-30,23842,427784,35202,7956,929,0.977889565036
2020-05-29,23485,491504,36412,8175,1179,0.972480145812
2020-05-28,22610,415315,37547,8389,1226,0.967277453724
2020-05-27,19395,310216,37771,8547,1318,0.962318139282
2020-05-26,16620,306714,37219,8585,640,0.9576250512469999
2020-05-25,18728,421768,37202,8472,555,0.95320601261
2020-05-24,20134,383233,37259,8487,678,0.949054917629
2020-05-23,21698,391568,38175,8733,1060,0.9451546830349999
2020-05-22,24519,411208,39395,9048,1335,0.941481369586
2020-05-21,26559,422062,40544,9090,1388,0.9380087340309999
2020-05-20,21537,408729,41567,9754,1392,0.934712526375
2020-05-19,20794,401108,41734,9829,1325,0.9315739628599999
2020-05-18,20976,356121,41540,9987,844,0.9285819569179999
2020-05-17,20286,373562,41653,10164,846,0.9257338815200001
2020-05-16,24664,363606,43434,10509,984,0.92303486096
2020-05-15,24681,359768,43418,10704,1502,0.9204958292799998
2020-05-14,26658,365598,44695,10888,1871,0.918130806943
2020-05-13,21218,319604,45170,10978,1696,0.915953943094
2020-05-12,22608,308692,45815,11241,1472,0.91397688376
2020-05-11,18237,382808,44803,11147,887,0.9122068760600001
2020-05-10,21603,268040,45452,11393,1024,0.910645786101
2020-05-09,24734,291606,47165,11496,1432,0.909290006094
2020-05-08,27623,298876,48284,11780,1779,0.908131059912
2020-05-07,27544,302389,49710,12137,2740,0.907156642491
2020-05-06,24986,245492,50806,12478,1932,0.9063518326600001
2020-05-05,22427,271488,51468,12629,2445,0.905700273397
2020-05-04,22407,231805,50592,12696,1012,0.9051851884000001
2020-05-03,25774,236722,50849,12722,1206,0.904790174551
2020-05-02,29323,248880,52232,12904,1541,0.904500421578
2020-05-01,33080,295619,52931,12845,1753,0.904305530729
2020-04-30,29645,233887,54436,13255,2117,0.904195249466
2020-04-29,27180,239053,55585,13535,2692,0.904158808359
2020-04-28,25098,206309,55596,13562,2042,0.904171478124
2020-04-27,22045,195884,55630,13812,1237,0.904234449331
2020-04-26,27414,206638,55662,14099,1188,0.9043411469050001
2020-04-25,36026,277690,56895,14414,1714,0.904486216998
2020-04-24,34196,235626,56702,14602,1865,0.9046846455959999
2020-04-23,31786,193199,58433,14744,1764,0.9049402608600001
2020-04-22,28908,323601,58627,15015,2065,0.9052525490119999
2020-04-21,26315,152936,59264,14941,2429,0.905590823838
2020-04-20,25837,146056,56236,14489,1765,0.905942522483
2020-04-19,27405,153763,56007,14410,1733,0.9063320371439999
2020-04-18,27982,146234,57238,14768,1837,0.9067633640100001
2020-04-17,32013,159591,58532,14890,2077,0.9072763678069999
2020-04-16,30840,163483,59140,15130,2141,0.90792224282
2020-04-15,30269,138095,59539,14647,2486,0.9086981385780001
2020-04-14,25639,152185,59222,14039,2287,0.909612331929
2020-04-13,25257,133454,55815,13632,1572,0.910530192496
2020-04-12,27871,139323,55136,13623,1630,0.9115879792589999
2020-04-11,30615,138891,55229,13280,1982,0.9128171256730001
2020-04-10,34235,157502,52373,12698,2055,0.9142566807729999
2020-04-09,34417,169694,50535,12254,1972,0.915955252247
2020-04-08,30481,147468,44833,10180,1944,0.9179734750390001
2020-04-07,30624,154321,43163,9821,1956,0.9203871552940001
2020-04-06,28891,151525,35559,6943,1254,0.9232912823280001
2020-04-05,25484,119194,31593,5677,1285,0.9268051544020001
2020-04-04,33212,229260,29749,5383,1440,0.9310789267280001
2020-04-03,31896,132569,25234,4811,1259,0.93630195689
