Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-07-17,77233,851788,57705,6453,951,1.0284090569700002
2020-07-16,71229,830918,57369,6359,977,1.03251111794
2020-07-15,65106,756470,56171,6328,855,1.03671430104
2020-07-14,62879,760282,55533,6235,736,1.04011024789
2020-07-13,58465,722099,53988,6074,327,1.0435569340200002
2020-07-12,60978,727318,52632,5930,476,1.0470735180600002
2020-07-11,63007,635437,51834,5939,757,1.0506755244200001
2020-07-10,66645,823375,51577,5896,854,1.0543640700299999
2020-07-09,58836,698788,43924,5845,867,1.05812274457
2020-07-08,62147,628262,43072,5874,897,1.0619482414599999
2020-07-07,51766,633221,41755,5832,922,1.0658475961799998
2020-07-06,41600,519951,39759,5684,242,1.0698530960200001
2020-07-05,45789,656908,38730,5653,209,1.07395702721
2020-07-04,54734,642231,38128,5633,306,1.07814397702
2020-07-03,54223,721440,37772,5597,597,1.08239461142
2020-07-02,53826,663376,37500,5626,697,1.08676788106
2020-07-01,50674,633282,36393,5512,701,1.09118772532
2020-06-30,47462,633945,35249,5424,596,1.09565098196
2020-06-29,39175,631715,33575,5380,330,1.09761289985
2020-06-28,41857,586643,32481,5248,271,1.0995283387399999
2020-06-27,43783,602866,32483,5315,509,1.10137686617
2020-06-26,44421,601962,31728,5283,636,1.1031205775200001
2020-06-25,39072,635891,31843,5319,2501,1.10473229732
2020-06-24,38684,511135,31086,5293,724,1.10619436655
2020-06-23,33021,499595,30234,5402,708,1.10748934731
2020-06-22,27017,462378,28794,5323,283,1.1086010023100001
2020-06-21,27284,512828,28171,5195,292,1.1095153849500001
2020-06-20,31994,567193,27957,5229,628,1.11022199285
2020-06-19,31046,569490,28639,5341,655,1.11071492783
2020-06-18,27527,513906,28409,5465,704,1.1109934562200001
2020-06-17,23873,487157,28562,5613,767,1.11106182948
2020-06-16,23435,463137,28265,5570,729,1.11092826609
2020-06-15,18510,435160,27772,5703,380,1.11060215913
2020-06-14,21373,482888,27857,5749,355,1.10787036535
2020-06-13,25341,505393,28509,5883,691,1.10494862956
2020-06-12,23477,617370,29152,6017,772,1.10183684131
2020-06-11,22032,456423,29698,6074,898,1.09852686406
2020-06-10,20803,428279,30847,6249,885,1.09500205251
2020-06-09,17175,419977,31155,6457,898,1.09123835861
2020-06-08,17012,396191,30609,6402,660,1.08720704056
2020-06-07,18823,447150,30890,6501,446,1.0828787475
2020-06-06,23106,512371,31465,6762,727,1.07822853639
2020-06-05,23352,506275,31869,6920,823,1.07324118866
2020-06-04,20839,460984,32234,7057,888,1.06791603866
2020-06-03,20312,466714,32659,7227,991,1.06227043989
2020-06-02,19982,418646,33327,7407,959,1.05634104294
2020-06-01,20415,412327,33689,7591,665,1.0501823057200002
2020-05-31,21639,396171,34332,7626,649,1.04386212027
2020-05-30,23762,425754,35196,7956,929,1.0374550459799998
2020-05-29,23522,487229,36409,8175,1179,1.03103422376
2020-05-28,22601,434470,37542,8389,1226,1.0246634111200001
2020-05-27,19385,308433,37766,8547,1318,1.0183905894399998
2020-05-26,16629,305932,37210,8585,640,1.0122442475
2020-05-25,18798,422588,37200,8472,555,1.006232868
2020-05-24,20105,381505,37255,8487,678,1.00034752556
2020-05-23,21590,390000,38168,8733,1060,0.994567003609
2020-05-22,24555,409088,39391,9048,1335,0.988864524886
2020-05-21,26513,461819,40657,9090,1388,0.983215051019
2020-05-20,21319,407159,41202,9522,1392,0.9776020940610001
2020-05-19,20853,401339,41383,9597,1325,0.9720230618160001
2020-05-18,20992,354713,41212,9755,844,0.9664923333840001
2020-05-17,20171,371154,41325,9932,846,0.9610415653159999
2020-05-16,24701,362120,42941,10277,984,0.955717161628
2020-05-15,24710,358323,42943,10472,1502,0.95057535206
2020-05-14,26705,364074,44221,10656,1871,0.9456757988760001
2020-05-13,21193,319041,45311,10978,1696,0.941074902239
2020-05-12,22663,308555,45942,11241,1472,0.936819994796
2020-05-11,18236,382123,44961,11147,887,0.932945291725
2020-05-10,21504,266330,45595,11393,1024,0.9294699740919999
2020-05-09,24810,291609,47152,11496,1432,0.926398312094
2020-05-08,27605,297850,48284,11780,1779,0.9237213733990001
2020-05-07,27490,301644,49872,12137,2740,0.921419699984
2020-05-06,25056,244833,50949,12478,1932,0.919466351818
2020-05-05,22449,271471,51590,12629,2445,0.917829844686
2020-05-04,22523,231456,50740,12696,1012,0.9164766820710001
2020-05-03,25767,236514,51020,12722,1206,0.9153733429530001
2020-05-02,29185,247084,52418,12904,1541,0.914488240561
2020-05-01,33056,295226,53127,12845,1753,0.9137917840369999
2020-04-30,29619,232647,54635,13255,2117,0.913258028276
2020-04-29,27231,239407,55708,13535,2692,0.912863774601
2020-04-28,25204,206599,55725,13562,2042,0.9125837401970001
2020-04-27,21979,194774,55765,13812,1237,0.9124023497310001
2020-04-26,27380,206288,55802,14099,1188,0.912304354136
2020-04-25,35901,276150,57026,14414,1714,0.912276890306
2020-04-24,34174,235857,56871,14602,1865,0.912328481711
2020-04-23,31788,192814,58583,14744,1764,0.912453653125
2020-04-22,28912,323479,58765,15015,2065,0.9126549066940001
