Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-06-24,38672,502290,30826,5279,722,1.04295832448
2020-06-23,32984,511484,29920,5416,703,1.0421404675700001
2020-06-22,27036,464758,28490,5311,282,1.04106993332
2020-06-21,27278,512199,27718,5155,297,1.03973404327
2020-06-20,31930,566448,27757,5220,621,1.03812756847
2020-06-19,31010,571201,28392,5332,647,1.0362546590000001
2020-06-18,27473,517700,28185,5458,693,1.03413007441
2020-06-17,23842,488722,28311,5605,778,1.03177931114
2020-06-16,23606,466994,28028,5564,713,1.02923732526
2020-06-15,18623,447707,27115,5695,379,1.02654558065
2020-06-14,21229,478558,27247,5743,356,1.02302960126
2020-06-13,25112,499806,27902,5878,693,1.01944815216
2020-06-12,23447,594282,28524,6012,771,1.0158371846799998
2020-06-11,22013,459041,29064,6067,903,1.01222267696
2020-06-10,20713,429495,30203,6242,874,1.0086186857100001
2020-06-09,17126,420433,30547,6450,893,1.00502727594
2020-06-08,17149,403673,29969,6394,657,1.00144027594
2020-06-07,18763,446332,30299,6493,449,0.997842516162
2020-06-06,23022,482898,30909,6754,721,0.9942160198379999
2020-06-05,23314,509417,31335,6912,844,0.990544516072
2020-06-04,20788,462210,31659,7054,878,0.9868176170790001
2020-06-03,20291,467942,32081,7224,965,0.9830340303470001
2020-06-02,19951,419819,32728,7403,971,0.979203275126
2020-06-01,20347,413216,33160,7588,665,0.975345566065
2020-05-31,21663,399412,33840,7623,657,0.9714898216869999
2020-05-30,23826,427768,34650,7956,932,0.967670113111
2020-05-29,23452,491471,35871,8175,1177,0.96392120088
2020-05-28,22558,415263,36967,8389,1242,0.9602740088580001
2020-05-27,19348,310169,37241,8547,1309,0.956751881033
2020-05-26,16603,306697,36609,8585,640,0.95336826088
2020-05-25,18717,421757,36668,8472,561,0.9501260990829999
2020-05-24,20124,383223,36706,8487,682,0.94701894315
2020-05-23,21676,391546,37873,8812,1048,0.944033383174
2020-05-22,24482,411171,38802,9048,1285,0.941152362797
2020-05-21,26508,422011,39915,9090,1398,0.938358803618
2020-05-20,21488,408680,40884,9829,1382,0.9356390048919999
2020-05-19,20742,401056,41091,9829,1292,0.932985341233
2020-05-18,20935,356080,40869,9987,866,0.930397882097
2020-05-17,20263,373539,41108,10164,889,0.927884710303
2020-05-16,24632,363574,42896,10509,1256,0.9254609191050001
2020-05-15,24616,359703,42854,10704,1500,0.923146497043
2020-05-14,26611,365551,44075,10888,1869,0.920963523327
2020-05-13,21191,319577,44514,10978,1694,0.918933196363
2020-05-12,22590,308674,45199,11241,1473,0.91707323565
2020-05-11,18210,382781,44191,11147,888,0.915396051017
2020-05-10,21591,268028,44943,11393,1024,0.913907845281
2020-05-09,24711,291583,46637,11496,1434,0.912608616384
2020-05-08,27589,298842,47718,11780,1780,0.911492860315
2020-05-07,27499,302344,49130,12137,2739,0.9105507047079999
