Day,Count,Tests,Tests μ,Tests σ,Cases,Cases μ,Cases σ
Sunday,8,18935,2366.875,1199.0091668302027,1181,147.625,63.10747635128956
Monday,8,18737,2342.125,982.3756100828818,855,106.875,62.549266296941596
Tuesday,8,20948,2618.5,876.0999616808249,728,91,64.72800233063188
Wednesday,8,24551,3068.875,1184.7024264707634,1194,149.25,46.93688771714022
Thursday,8,25055,3131.875,1331.380104306376,1079,134.875,61.770167325567215
Friday,8,28071,3508.875,1206.1322407360053,1414,176.75,64.45762727781495
Saturday,8,23725,2965.625,1293.7801687303759,1471,183.875,103.01378201830222
