Date,7d Positive Rate,7d Wander Rate,7d Density,7d Tests,7d Positive Tests,Daily Positive Rate,Hospital Cases,ICU Cases,Annotations,(Blank),New Tests,Positive Tests,New Deaths
2020-08-19,0.044555264879005886,,,3494.8571428571427,155.71428571428572,0.0,419.14285714285717,131.57142857142858,,-,288,0,18
2020-08-18,0.04265110102226752,,,4625.571428571428,197.28571428571428,0.023972602739726026,424.57142857142856,135.14285714285714,,-,1752,42,5
2020-08-17,0.04501890897787909,,,5515.142857142857,248.28571428571428,0.020569011918492888,427.57142857142856,137.57142857142858,,-,5202,107,0
2020-08-16,0.04792697788942224,57.90902568137524,10.627741838833847,5743.857142857143,275.2857142857143,0.026900584795321637,432.14285714285717,140.0,,-,2565,69,1
2020-08-15,0.0489894224561752,58.14357221052801,10.453166068492054,5753.428571428572,281.85714285714283,0.05303030303030303,439.85714285714283,142.85714285714286,,-,2904,154,20
2020-08-14,0.049877168167944616,58.06280181252682,10.389020654168288,5757.0,287.14285714285717,0.06190125276344879,449.14285714285717,147.14285714285714,,-,5428,336,20
2020-08-13,0.050332290852228304,57.381348549375744,10.916318581203623,5846.857142857143,294.2857142857143,0.06039525691699605,457.2857142857143,151.28571428571428,,-,6325,382,24
2020-08-12,0.05105612257385515,57.16666662239619,11.158218575153407,5836.714285714285,298.0,0.03547482628306717,468.0,154.85714285714286,,-,8203,291,11
2020-08-11,0.052901221689037256,56.81908618066342,11.962642138555577,6162.428571428572,326.0,0.05000626644942975,479.2857142857143,158.85714285714286,,-,7979,399,10
2020-08-10,0.05493405689122167,57.46153275134021,12.260565565898272,6423.285714285715,352.85714285714283,0.043510216081140675,493.0,163.28571428571428,,-,6803,296,0
2020-08-09,0.05712730044647719,57.66290645000118,12.109404559757024,6559.285714285715,374.7142857142857,0.043693009118541036,507.0,167.0,,-,2632,115,6
2020-08-08,0.05910028357824181,56.648756931710686,12.422864725500522,6649.714285714285,393.0,0.06520996927278935,519.4285714285714,170.28571428571428,,-,2929,191,16
2020-08-07,0.060505681579940455,56.524511092771256,12.740807258754103,6814.0,412.2857142857143,0.0637279181112762,529.0,171.42857142857142,,-,6057,386,7
2020-08-06,0.06334275994917825,57.58884648329266,12.283728982387972,6971.142857142857,441.57142857142856,0.06523824752158619,536.8571428571429,171.71428571428572,,-,6254,408,32
2020-08-05,0.06509611911546334,58.25198537292115,12.313540792248867,7119.142857142857,463.42857142857144,0.04645616712773061,548.5714285714286,173.71428571428572,,-,10483,487,12
2020-08-04,0.06968810916179337,58.438953718876924,12.118063734814983,7035.428571428572,490.2857142857143,0.05986741458439571,559.2857142857143,176.28571428571428,,-,9805,587,2
2020-08-03,0.0716854978629766,57.59652727573062,11.99032242126077,6751.714285714285,484.0,0.05789813023855577,572.1428571428571,180.85714285714286,,-,7755,449,0
2020-08-02,0.07489690610359047,58.31665079203987,11.709283646023122,6616.714285714285,495.57142857142856,0.07442572741194486,586.5714285714286,186.0,,-,3265,243,2
2020-08-01,0.07575790740943417,59.629343522371926,11.363402089773771,6526.428571428572,494.42857142857144,0.07992154939936259,601.7142857142857,190.14285714285714,,-,4079,326,31
2020-07-31,0.07716104335440221,60.66990133043394,10.838763027248266,6418.857142857143,495.2857142857143,0.08257649853290484,620.7142857142857,194.42857142857142,,-,7157,591,14
2020-07-30,0.078664363845711,60.75474089381545,10.784952439388096,6203.571428571428,488.0,0.07695473251028806,640.5714285714286,199.28571428571428,,-,7290,561,17
2020-07-29,0.07883159886471144,61.026653260032866,10.348548744335645,6040.0,476.14285714285717,0.06820248560169749,649.0,202.71428571428572,,-,9897,675,6
2020-07-28,0.0784997385002366,61.48402456892989,9.893670992536034,5736.142857142857,450.2857142857143,0.0694462207443407,663.0,209.0,,-,7819,543,15
2020-07-27,0.08320271682340648,62.654567512080085,9.49812608565547,5468.571428571428,455.0,0.07782672540381791,673.4285714285714,213.14285714285714,,-,6810,530,2
