Date,Hospitalizations,New SNF Cases,Estimated SNF Cases at 10d per Case,Estimated SNF Cases at 30d per Case,7-Day Hospitalization Avg,7-Day New SNF Cases Avg,7-Day 10d SNF Avg,7-Day Total Hospital Avg,7-Day Test Positive Rate
2020-08-13,436,23,187,507,457.2857142857143,13.571428571428571,174.14285714285714,631.4285714285714,0.03582896738211932
2020-08-12,438,12,164,524,468.0,15.857142857142858,183.28571428571428,651.2857142857142,0.04209231610236086
2020-08-11,440,29,152,512,479.2857142857143,17.142857142857142,190.14285714285714,669.4285714285714,0.04547054840893704
2020-08-10,441,0,124,483,493.0,17.571428571428573,195.71428571428572,688.7142857142858,0.052012686020980727
2020-08-09,468,0,145,507,507.0,17.571428571428573,200.85714285714286,707.8571428571429,0.057962143327996984
2020-08-08,487,29,234,514,519.4285714285714,17.571428571428573,205.0,724.4285714285714,0.060698447893569846
2020-08-07,491,2,213,502,529.0,13.571428571428571,197.85714285714286,726.8571428571429,0.062601005566529
2020-08-06,511,39,251,531,536.8571428571429,16.285714285714285,197.57142857142858,734.4285714285714,0.06658500306238516
2020-08-05,517,21,212,508,548.5714285714286,23.428571428571427,191.28571428571428,739.8571428571429,0.06879485806106052
2020-08-04,536,32,191,489,559.2857142857143,21.571428571428573,177.85714285714286,737.1428571428572,0.07219353200135456
2020-08-03,539,0,160,457,572.1428571428571,22.714285714285715,166.28571428571428,738.4285714285713,0.07296870607063302
2020-08-02,555,0,174,467,586.5714285714286,22.714285714285715,155.42857142857142,742.0,0.07632124123947635
2020-08-01,554,1,184,478,601.7142857142857,22.714285714285715,145.28571428571428,747.0,0.0772604588394062
2020-07-31,546,21,211,485,620.7142857142857,22.714285714285715,141.14285714285714,761.8571428571428,0.07864470718130377
2020-07-30,593,89,207,510,640.5714285714286,21.714285714285715,133.85714285714286,774.4285714285714,0.0799624611978728
2020-07-29,592,8,118,433,649.0,10.428571428571429,130.85714285714286,779.8571428571429,0.08005624907485075
2020-07-28,626,40,110,425,663.0,13.285714285714286,139.14285714285714,802.1428571428571,0.07994654508293374
2020-07-27,640,0,84,385,673.4285714285714,10.0,144.57142857142858,818.0,0.08437171180151742
2020-07-26,661,0,103,389,682.0,10.0,154.71428571428572,836.7142857142858,0.08673859485175431
2020-07-25,687,1,155,395,682.7142857142857,10.0,163.14285714285714,845.8571428571428,0.08882910865827279
2020-07-24,685,14,160,416,679.5714285714286,11.857142857142858,166.57142857142858,846.1428571428571,0.09187231029035245
2020-07-23,652,10,186,422,680.5714285714286,12.571428571428571,171.71428571428572,852.2857142857142,0.0946097985066994
2020-07-22,690,28,176,444,684.8571428571429,18.571428571428573,172.71428571428572,857.5714285714287,0.1011434460421063
2020-07-21,699,17,148,416,687.8571428571429,15.428571428571429,168.0,855.8571428571429,0.11019316922780481
2020-07-20,700,0,155,399,691.1428571428571,18.714285714285715,166.42857142857142,857.5714285714286,0.11354145035878267
2020-07-19,666,0,162,411,692.8571428571429,18.714285714285715,159.57142857142858,852.4285714285714,0.11616382133344977
2020-07-18,665,14,179,427,694.0,18.714285714285715,153.28571428571428,847.2857142857142,0.11835045224589913
2020-07-17,692,19,196,429,695.4285714285714,20.142857142857142,145.71428571428572,841.1428571428571,0.12111424235855192
2020-07-16,682,52,193,449,692.4285714285714,18.428571428571427,138.85714285714286,831.2857142857143,0.12623788847774475
2020-07-15,711,6,143,474,691.0,13.428571428571429,133.14285714285714,824.1428571428571,0.1286322965487857
2020-07-14,722,40,137,468,688.1428571428571,17.0,132.14285714285714,820.2857142857142,0.12936715156036305
2020-07-13,712,0,107,428,682.0,13.571428571428571,127.57142857142857,809.5714285714286,0.13177297840281266
2020-07-12,674,0,118,449,674.4285714285714,13.857142857142858,125.57142857142857,800.0,0.13611455541778328
2020-07-11,675,24,126,469,668.7142857142857,13.857142857142858,122.57142857142857,791.2857142857142,0.13717176969381836
2020-07-10,671,7,148,458,661.4285714285714,11.857142857142858,121.57142857142857,783.0,0.13862376526486891
2020-07-09,672,17,153,463,650.4285714285714,12.428571428571429,118.85714285714286,769.2857142857143,0.13977481818978357
2020-07-08,691,31,136,465,637.8571428571429,11.142857142857142,118.42857142857143,756.2857142857143,0.13767214380711312
2020-07-07,679,16,105,434,618.5714285714286,13.285714285714286,119.28571428571429,737.8571428571429,0.14176423629590207
2020-07-06,659,2,93,418,599.0,12.714285714285714,118.0,717.0,0.14457667767772298
2020-07-05,634,0,97,450,577.7142857142857,12.428571428571429,118.42857142857143,696.1428571428571,0.14612559593056412
2020-07-04,624,10,119,454,556.4285714285714,12.428571428571429,120.57142857142857,677.0,0.14679087608740324
2020-07-03,594,11,129,462,537.5714285714286,11.571428571428571,121.85714285714286,659.4285714285714,0.1456477710751541
2020-07-02,584,8,150,480,519.4285714285714,10.857142857142858,126.71428571428571,646.1428571428571,0.1442653078272492
2020-07-01,556,46,142,524,500.42857142857144,12.857142857142858,138.71428571428572,639.1428571428571,0.14852442115211134
2020-06-30,542,12,96,478,483.42857142857144,9.142857142857142,148.71428571428572,632.1428571428571,0.14830210398414018
2020-06-29,510,0,96,466,464.0,12.0,162.42857142857142,626.4285714285714,0.14744679477523617
2020-06-28,485,0,112,464,444.85714285714283,12.0,174.57142857142858,619.4285714285714,0.14540636042402827
2020-06-27,492,4,128,466,427.14285714285717,12.0,187.28571428571428,614.4285714285714,0.14352581124263017
2020-06-26,467,6,163,510,408.7142857142857,13.142857142857142,199.57142857142858,608.2857142857143,0.14102622576966933
2020-06-25,451,22,234,547,391.14285714285717,14.571428571428571,206.85714285714286,598.0,0.13751672024968906
2020-06-24,437,20,212,525,374.57142857142856,13.714285714285714,204.42857142857142,579.0,0.1326856183279357
2020-06-23,406,32,192,505,362.2857142857143,16.428571428571427,202.85714285714286,565.1428571428571,0.12623149598342848
2020-06-22,376,0,181,473,356.2857142857143,22.857142857142858,198.57142857142858,554.8571428571429,0.1177565743542006
2020-06-21,361,0,201,488,352.0,22.857142857142858,189.71428571428572,541.7142857142858,0.10879329004329004
2020-06-20,363,12,214,515,346.2857142857143,22.857142857142858,178.57142857142858,524.8571428571429,0.10589489801498332
2020-06-19,344,16,214,521,342.42857142857144,24.142857142857142,168.14285714285714,510.57142857142856,0.10143009965655087
2020-06-18,335,16,217,506,337.7142857142857,24.714285714285715,158.85714285714286,496.57142857142856,0.09445944742855447
2020-06-17,351,39,201,542,336.2857142857143,24.285714285714285,153.71428571428572,490.0,0.08682247024727138
2020-06-16,364,77,162,503,330.7142857142857,20.428571428571427,149.0,479.7142857142857,0.07954438186337749
2020-06-15,346,0,119,426,323.7142857142857,12.142857142857142,148.14285714285714,471.8571428571429,0.070399582817287
2020-06-14,321,0,123,457,321.0,12.142857142857142,150.42857142857142,471.42857142857144,0.06848444295751087
2020-06-13,336,21,141,480,321.14285714285717,12.142857142857142,152.42857142857142,473.57142857142856,0.06703008277811427
2020-06-12,311,20,149,466,317.2857142857143,14.0,158.71428571428572,476.0,0.06481794230899142
2020-06-11,325,13,181,472,317.85714285714283,11.714285714285714,165.14285714285714,483.0,0.06272444338041656
2020-06-10,312,12,168,496,314.2857142857143,12.428571428571429,166.42857142857142,480.71428571428567,0.061246745936818406
2020-06-09,315,19,156,484,312.0,14.857142857142858,167.0,479.0,0.061347014518065714
2020-06-08,327,0,135,465,310.7142857142857,19.571428571428573,165.14285714285714,475.8571428571429,0.06206235719024102
2020-06-07,322,0,137,486,305.7142857142857,19.571428571428573,161.0,466.7142857142857,0.0619324442418025
2020-06-06,309,34,185,531,300.14285714285717,19.571428571428573,160.42857142857142,460.57142857142856,0.06242660706844956
2020-06-05,315,4,194,500,297.57142857142856,14.428571428571429,155.57142857142858,453.1428571428571,0.06342592592592593
2020-06-04,300,18,190,513,290.0,14.142857142857142,149.85714285714286,439.8571428571429,0.06304467299992149
2020-06-03,296,29,172,517,288.7142857142857,18.428571428571427,151.85714285714286,440.57142857142856,0.0636152361444834
2020-06-02,306,52,143,502,290.2857142857143,20.428571428571427,149.57142857142858,439.8571428571429,0.06363344567485155
2020-06-01,292,0,106,475,289.57142857142856,13.0,145.28571428571428,434.85714285714283,0.06722827882391808
2020-05-31,283,0,133,482,290.7142857142857,13.0,150.71428571428572,441.42857142857144,0.06777025791110299
2020-05-30,291,-2,151,490,291.14285714285717,13.0,155.57142857142858,446.7142857142858,0.06667890413473453
2020-05-29,262,2,154,501,289.2857142857143,15.428571428571429,158.85714285714286,448.1428571428571,0.06601660912568816
2020-05-28,291,48,204,524,290.2857142857143,19.0,163.28571428571428,453.57142857142856,0.06619250829777146
2020-05-27,307,43,156,489,286.14285714285717,14.714285714285714,162.0,448.14285714285717,0.06526702402223546
2020-05-26,301,0,113,449,281.57142857142856,8.714285714285714,165.0,446.57142857142856,0.06672124437167418
2020-05-25,300,0,144,464,277.0,16.142857142857142,174.0,451.0,0.06451968677622147
2020-05-24,286,0,167,485,271.7142857142857,16.142857142857142,174.14285714285714,445.8571428571429,0.06651929260450161
2020-05-23,278,15,174,485,269.0,16.142857142857142,177.42857142857142,446.42857142857144,0.06698391351575027
2020-05-22,269,27,185,476,265.14285714285717,18.428571428571427,180.14285714285714,445.28571428571433,0.06842743423480416
2020-05-21,262,18,195,461,262.42857142857144,17.857142857142858,179.28571428571428,441.7142857142857,0.07249311062369945
2020-05-20,275,1,177,450,262.0,16.285714285714285,176.85714285714286,438.8571428571429,0.0750354522473642
2020-05-19,269,52,176,453,259.42857142857144,19.857142857142858,178.0,437.42857142857144,0.0758168202001458
2020-05-18,263,0,145,424,258.57142857142856,17.714285714285715,179.14285714285714,437.71428571428567,0.07730656286280134
2020-05-17,267,0,190,438,254.14285714285714,17.714285714285715,180.42857142857142,434.57142857142856,0.07408722829947435
2020-05-16,251,31,193,447,248.85714285714286,17.714285714285715,176.42857142857142,425.2857142857143,0.07283548249964575
2020-05-15,250,23,179,425,245.57142857142858,16.285714285714285,173.28571428571428,418.8571428571429,0.07190527448869752
2020-05-14,259,7,178,404,241.57142857142858,19.428571428571427,172.71428571428572,414.28571428571433,0.07251636777682892
2020-05-13,257,26,185,397,236.28571428571428,18.857142857142858,167.71428571428572,404.0,0.07318765175164758
2020-05-12,263,37,184,371,230.42857142857142,17.571428571428573,161.71428571428572,392.1428571428571,0.07734297462072877
2020-05-11,232,0,154,334,222.85714285714286,15.428571428571429,155.57142857142858,378.42857142857144,0.07749132008569107
2020-05-10,230,0,162,335,220.28571428571428,17.428571428571427,153.57142857142858,373.8571428571429,0.08137127080297568
2020-05-09,228,21,171,335,218.57142857142858,21.0,148.42857142857142,367.0,0.08403035935563817
2020-05-08,222,45,175,314,216.71428571428572,19.0,139.28571428571428,356.0,0.08024691358024691
2020-05-07,222,3,143,269,216.14285714285714,13.714285714285714,130.28571428571428,346.42857142857144,0.07458247540608556
2020-05-06,216,17,143,266,215.0,14.571428571428571,125.71428571428571,340.7142857142857,0.07469174834018337
2020-05-05,210,22,141,249,214.28571428571428,15.714285714285714,120.42857142857143,334.7142857142857,0.07178861788617887
2020-05-04,214,14,140,228,213.28571428571428,14.428571428571429,115.14285714285714,328.42857142857144,0.07633777189645191
2020-05-03,218,25,126,214,209.71428571428572,12.857142857142858,110.14285714285714,319.8571428571429,0.07846338948092128
2020-05-02,215,7,107,189,204.28571428571428,11.428571428571429,108.0,312.2857142857143,0.07911142330318728
2020-05-01,218,8,112,183,198.85714285714286,13.428571428571429,107.71428571428571,306.57142857142856,0.08208082080820808
2020-04-30,214,9,111,175,192.71428571428572,12.285714285714286,104.0,296.7142857142857,0.08923046212196827
2020-04-29,211,25,106,166,186.42857142857142,11.857142857142858,100.42857142857143,286.85714285714283,0.08642228138439484
2020-04-28,203,13,104,141,180.85714285714286,10.0,96.71428571428571,277.57142857142856,0.09214239201215542
2020-04-27,189,3,105,128,177.42857142857142,9.142857142857142,91.57142857142857,269.0,0.08880535651356748
2020-04-26,180,15,111,125,175.0,9.285714285714286,85.42857142857143,260.42857142857144,0.08127382269765154
2020-04-25,177,21,105,110,172.42857142857142,10.428571428571429,77.85714285714286,250.28571428571428,0.07922159447583177
2020-04-24,175,0,86,89,169.57142857142858,9.428571428571429,67.85714285714286,237.42857142857144,0.0770922261027034
2020-04-23,170,6,86,89,167.42857142857142,10.714285714285714,58.57142857142857,226.0,0.07631905221104836
2020-04-22,172,12,80,83,164.85714285714286,11.142857142857142,48.0,212.85714285714286,0.07927369353410098
2020-04-21,179,7,68,71,162.57142857142858,9.714285714285714,37.0,199.57142857142858,0.0783779694356181
2020-04-20,172,4,62,64,158.0,8.714285714285714,27.571428571428573,185.57142857142858,0.08025477707006369
2020-04-19,162,23,58,60,154.71428571428572,8.142857142857142,19.0,173.71428571428572,0.08645727794663965
2020-04-18,157,14,35,37,151.28571428571428,4.857142857142857,11.0,162.28571428571428,0.08673116793365584
2020-04-17,160,9,21,23,149.42857142857142,3.0,6.428571428571429,155.85714285714283,0.08819294456443484
2020-04-16,152,9,12,14,146.42857142857142,1.7142857142857142,3.7142857142857144,150.14285714285714,0.08941877794336811
2020-04-15,156,2,3,5,145.57142857142858,0.42857142857142855,2.2857142857142856,147.85714285714286,0.09658650116369279
2020-04-14,147,0,2,3,145.14285714285714,0.14285714285714285,2.142857142857143,147.28571428571428,0.09510086455331412
2020-04-13,149,0,2,3,144.57142857142858,0.14285714285714285,2.142857142857143,146.71428571428572,0.09591879013880257
2020-04-12,138,0,2,3,144.0,0.14285714285714285,2.142857142857143,146.14285714285714,0.0942120828052387
2020-04-11,144,1,3,3,144.85714285714286,0.2857142857142857,2.142857142857143,147.0,0.09576931172384762
2020-04-10,139,0,2,2,144.71428571428572,0.14285714285714285,1.8571428571428572,146.57142857142858,0.09951507484714316
2020-04-09,146,0,2,2,143.57142857142858,0.14285714285714285,1.7142857142857142,145.2857142857143,0.09991460290350128
2020-04-08,153,0,2,2,141.14285714285714,0.2857142857142857,1.5714285714285714,142.71428571428572,0.09117833721176222
2020-04-07,143,0,2,2,136.0,,1.2857142857142858,137.28571428571428,0.08983258472846059
2020-04-06,145,0,2,2,,,,,0.09545361036823699
2020-04-05,144,1,2,2,,,,,0.09659090909090909
2020-04-04,143,0,1,1,,,,,0.09817958682757211
2020-04-03,131,0,1,1,,,,,0.10149070859710027
2020-04-02,129,1,1,1,,,,,0.104227710339054
2020-04-01,117,,0,0,,,,,0.11055603822762815
