Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-07-08,1333,,,,7,1.0867586471100001
2020-07-07,1010,6786,679,234,3,1.09094962825
2020-07-06,1028,8037,659,224,0,1.09521078936
2020-07-05,663,4157,634,203,3,1.09956028994
2020-07-04,413,5649,624,197,3,1.1039637712700001
2020-07-03,713,6862,594,193,6,1.10845583695
2020-07-02,652,5963,584,187,9,1.11299472202
2020-07-01,570,7001,556,193,5,1.11760161751
2020-06-30,779,7746,542,192,10,1.12225359243
2020-06-29,456,9918,510,176,4,1.12680405655
2020-06-28,146,6108,485,175,3,1.13135064592
2020-06-27,539,7952,492,170,0,1.1358894631299998
2020-06-26,477,1583,467,179,17,1.1404157392
2020-06-25,501,1261,451,166,7,1.14492366231
2020-06-24,350,3055,437,161,26,1.14940619551
2020-06-23,140,4297,406,154,4,1.1538547965700001
2020-06-22,171,3999,376,152,0,1.1582591145299999
2020-06-21,420,4081,361,142,2,1.16260659384
2020-06-20,396,5229,363,142,10,1.16688206403
2020-06-19,280,4893,344,138,7,1.1710674530399998
2020-06-18,127,5037,335,141,7,1.17514130787
2020-06-17,196,5177,351,149,10,1.17907826146
2020-06-16,241,4030,364,151,12,1.18284856111
2020-06-15,196,3871,346,138,0,1.18641694312
2020-06-14,290,4188,321,143,4,1.18509895498
2020-06-13,127,3815,336,150,7,1.18348668968
2020-06-12,160,4712,311,150,8,1.18153466507
2020-06-11,246,3606,325,156,4,1.17919446366
2020-06-10,143,4233,312,143,13,1.1764164984799999
2020-06-09,83,3658,315,146,8,1.17315267081
2020-06-08,108,3108,327,149,0,1.1693600283499999
2020-06-07,109,3332,322,148,1,1.1650053964
2020-06-06,258,3634,309,137,2,1.16007075549
2020-06-05,274,4712,315,131,9,1.15455885615
2020-06-04,102,4822,300,123,6,1.14849826035
2020-06-03,128,3343,296,124,9,1.14194679597
2020-06-02,89,2919,306,130,3,1.13499234963
2020-06-01,200,3182,292,121,0,1.12775017919
2020-05-31,150,3280,283,120,1,1.12035655212
2020-05-30,170,3328,291,122,1,1.11295911668
2020-05-29,163,3925,262,100,3,1.10570555356
2020-05-28,87,3477,291,119,6,1.0987321964
2020-05-27,112,2718,307,125,5,1.09215446009
2020-05-26,105,2311,301,119,0,1.08606041805
2020-05-25,120,2535,300,119,0,1.08050809069
2020-05-24,170,2907,286,117,1,1.0755262134299999
2020-05-23,202,2794,278,122,11,1.07111767355
2020-05-22,104,3126,269,127,7,1.0672645473
2020-05-21,95,2660,262,119,14,1.0639337064799999
2020-05-20,240,3168,275,120,10,1.0610821910500001
2020-05-19,58,2371,269,116,0,1.05866184131
2020-05-18,46,1526,263,111,0,1.05662295872
2020-05-17,147,1029,267,117,2,1.0549169707200001
2020-05-16,87,1581,251,103,2,1.05349820264
2020-05-15,145,2580,250,110,4,1.0523249199200002
2020-05-14,216,2128,259,102,0,1.0513598169299998
2020-05-13,152,2107,257,105,3,1.05057011376
2020-05-12,54,2134,263,88,1,1.04992739482
2020-05-11,53,1657,232,85,0,1.04940729254
2020-05-10,115,1580,230,81,2,1.04898909119
2020-05-09,141,1696,228,85,3,1.04865530237
2020-05-08,139,2054,222,77,5,1.04839124564
2020-05-07,84,1784,222,78,1,1.04818465406
2020-05-06,123,2195,216,71,4,1.0480253156000001
2020-05-05,66,2183,210,70,4,1.04790475459
2020-05-04,84,1807,214,71,5,1.0478159539
2020-05-03,102,1459,218,66,0,1.04775311595
2020-05-02,90,1648,215,64,2,1.0477114586299998
2020-05-01,149,2069,218,62,5,1.04768704262
2020-04-30,122,1541,214,74,1,1.0476766264700001
2020-04-29,100,1610,211,76,2,1.04767754377
2020-04-28,32,1342,203,75,3,1.0476576236200001
2020-04-27,48,1051,189,76,0,1.04765817259
2020-04-26,98,1160,180,73,1,1.04767417141
2020-04-25,118,1200,177,74,2,1.04770083685
2020-04-24,30,1380,175,68,0,1.04773694234
2020-04-23,67,1248,170,75,2,1.04778128702
2020-04-22,66,1342,172,73,1,1.04784367505
2020-04-21,24,1143,179,77,0,1.0479094826000002
2020-04-20,36,744,172,73,1,1.0479802129
2020-04-19,68,790,162,73,0,1.04805790544
2020-04-18,56,889,157,64,4,1.04814532964
2020-04-17,72,1038,160,58,3,1.0482462500399998
2020-04-16,50,1079,152,55,3,1.04836578968
2020-04-15,83,1010,156,73,3,1.04851092866
2020-04-14,21,753,147,57,0,1.04869118966
2020-04-13,7,494,149,54,0,1.0489195823200002
2020-04-12,49,605,138,63,1,1.0492139058399998
2020-04-11,80,899,144,44,1,1.0495985465
2020-04-10,57,951,139,69,0,1.0501069566799999
2020-04-09,63,765,146,45,0,1.0507850677200001
2020-04-08,89,969,153,49,2,1.0516959705
2020-04-07,40,753,143,71,1,1.05292628284
2020-04-06,49,510,145,73,0,1.0545946666600001
2020-04-05,47,629,144,70,0,1.05686283161
2020-04-04,70,730,143,70,1,1.05994872981
2020-04-03,55,894,131,66,0,1.0641397523
2020-04-02,54,1176,129,67,3,1.0697993559799999
2020-04-01,104,1078,117,50,3,1.0773530961799997
2020-03-31,38,640,,,3,1.0872340787
2020-03-30,33,729,,,0,1.09977913136
2020-03-29,24,748,,,0,1.11511068001
2020-03-28,79,917,,,1,1.1330832986
2020-03-27,66,782,,,2,1.15334079287
2020-03-26,64,926,,,0,1.17543406905
2020-03-25,36,575,,,0,1.19891210845
2020-03-24,25,498,,,1,1.2233407744299998
2020-03-23,28,333,,,0,1.24826134531
2020-03-22,17,846,,,0,1.2731337349
2020-03-21,13,437,,,0,1.2973067492700001
2020-03-20,12,430,,,0,1.32003777477
2020-03-19,10,229,,,0,1.34057509344
