Date,New Tests Administered,Pos Tests Administered,New Tests Reported,New Cases,Hospitalizations,ICU,New Deaths,SNF Cases
2023-01-19,,,,1515,,,23,24
2023-01-18,1298,80,23494,0,248,28,0,0
2023-01-17,3896,205,0,0,272,34,0,0
2023-01-16,3172,254,0,0,277,32,0,0
2023-01-15,1775,169,0,0,262,30,0,0
2023-01-14,1914,144,0,0,237,29,0,0
2023-01-13,3380,276,0,0,249,28,0,0
2023-01-12,3626,315,0,2246,257,28,36,36
2023-01-11,4519,307,28296,0,278,34,0,0
2023-01-10,4766,304,0,0,300,36,0,0
2023-01-09,4758,385,0,0,301,34,0,0
2023-01-08,2019,220,0,0,290,26,0,0
2023-01-07,2105,291,0,0,284,27,0,0
2023-01-06,3895,404,0,0,320,35,0,0
2023-01-05,3987,408,0,3195,346,29,32,43
2023-01-04,4572,467,23953,0,352,30,0,0
2023-01-03,5750,585,0,0,350,33,0,0
2023-01-02,3309,477,0,0,340,28,0,0
2023-01-01,1368,200,0,0,342,24,0,0
2022-12-31,1886,348,0,0,315,30,0,0
2022-12-30,3543,554,0,0,325,31,0,0
2022-12-29,4180,596,0,3269,348,34,24,120
2022-12-28,4471,690,26136,0,329,47,0,0
2022-12-27,5667,755,0,0,332,43,0,0
2022-12-26,3518,626,0,0,305,31,0,0
2022-12-25,1201,175,0,0,310,34,0,0
2022-12-24,1721,291,0,0,308,32,0,0
2022-12-23,3406,513,0,0,327,37,0,0
2022-12-22,4213,586,0,3360,329,32,42,67
2022-12-21,4557,651,28394,0,338,40,0,0
2022-12-20,5558,700,0,0,351,48,0,0
2022-12-19,5430,683,0,0,347,51,0,0
2022-12-18,2119,341,0,0,358,44,0,0
2022-12-17,2358,347,0,0,351,51,0,0
2022-12-16,4325,515,0,0,368,51,0,0
2022-12-15,4749,576,0,3466,376,56,14,122
2022-12-14,4524,625,29861,0,377,49,0,0
2022-12-13,5605,666,0,0,368,48,0,0
2022-12-12,6191,749,0,0,348,48,0,0
2022-12-11,2172,340,0,0,324,46,0,0
2022-12-10,2307,409,0,0,349,56,0,0
2022-12-09,4080,535,0,0,356,53,0,0
2022-12-08,4592,574,0,4449,378,51,17,58
2022-12-07,4826,610,37592,0,388,48,0,0
2022-12-06,6182,729,0,0,359,48,0,0
2022-12-05,6242,797,0,0,349,48,0,0
2022-12-04,2376,395,0,0,343,48,0,0
2022-12-03,2567,421,0,0,329,49,0,0
2022-12-02,5123,676,0,0,299,55,0,0
2022-12-01,5159,693,0,3690,303,48,6,44
2022-11-30,5650,820,32430,0,299,38,0,0
2022-11-29,6577,899,0,0,278,32,0,0
2022-11-28,6797,887,0,0,255,34,0,0
