Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-03-14,8,118,,,,1.41444892063
2020-03-13,0,83,,,,1.4196391009
2020-03-12,0,73,,,,1.4234553939399999
2020-03-11,1,45,,,,1.4262529941100002
2020-03-10,0,56,,,,1.4282951524
2020-03-09,1,41,,,,1.42982302219
2020-03-08,0,0,,,,1.4309129493700001
2020-03-07,0,0,,,,1.43171102014
2020-03-06,1,47,,,,1.4322959883200002
2020-03-05,0,26,,,,1.4327252246000002
2020-03-04,0,0,,,,1.43304053055
2020-03-03,2,14,,,,1.4332723873299997
2020-03-02,0,15,,,,1.43344304617
2020-03-01,0,0,,,,1.43392356941
