Date,New Tests Administered,Pos Tests Administered,New Tests Reported,New Cases,Hospitalizations,ICU,New Deaths,Rt Rate,Travel Distance,Visitation,Encounter Density,Social Distance Grade,SNF Cases
2020-08-15,,,,513,,,20,0.9751355532629999,,,,,10
2020-08-14,287,0,11515,683,434,138,20,0.975707504387,,,,,10
2020-08-13,1849,39,9513,348,436,152,24,0.976281263754,,,,,23
2020-08-12,4568,70,13506,245,438,143,11,0.976857095805,,,,,12
2020-08-11,7074,282,5917,1051,440,141,10,0.977435351947,-0.3568764722447994,-0.4631023721164922,10.092248005070347,F,29
2020-08-10,6553,259,13839,886,441,141,0,0.9780164950570001,-0.4132748258770475,-0.4974551669124287,11.248437618187548,D-,0
2020-08-09,2538,111,10659,565,468,152,6,0.978601130845,-0.33465704246069394,-0.4608890602048151,10.411930258753898,F,0
2020-08-08,2859,179,14665,322,487,163,16,0.979190047975,-0.38651605667843975,-0.4767146116568398,13.824714691457219,F,29
2020-08-07,6009,381,6871,43,491,167,7,0.9797842693009999,-0.40121215521358783,-0.5146167950182777,13.493354625992318,D-,2
2020-08-06,6074,408,4521,580,511,177,32,0.9803851172110001,-0.4472047715778295,-0.5058144871014503,11.765573212286338,D-,39
2020-08-05,9271,483,3330,65,517,171,12,0.980994296752,-0.3830100500135368,-0.40398406763088307,12.902236558141372,F,21
2020-08-04,8650,588,5075,253,536,172,2,0.981614001075,-0.30125617955520123,-0.42878014491134014,12.177711996469206,F,32
2020-08-03,7611,447,3755,422,539,167,0,0.982247044706,-0.36363213845926934,-0.5189543363322199,10.190310575198822,F,0
2020-08-02,3261,244,17133,558,555,175,2,0.982897031131,-0.42214173066002975,-0.5153853045661482,12.60615141895839,D-,0
2020-08-01,4025,324,3173,637,554,171,31,0.983568562197,-0.39094646594942545,-0.4896786198373746,16.05031242423228,F,1
2020-07-31,7101,590,6357,418,546,169,14,0.9842674975329999,-0.27616754892049644,-0.49065444663837277,10.293806691429399,F,21
2020-07-30,6970,551,5811,506,593,191,17,0.9850012723270001,-0.3567992652456626,-0.5033805488856287,11.974255881312594,F,89
2020-07-29,9847,675,-1337,439,592,189,6,0.985779280694,-0.33384251725808956,-0.4269760319525199,11.533897156104189,F,8
2020-07-28,7688,546,5366,187,626,204,15,0.986613328638,-0.4124510264707429,-0.43552500003628347,11.283522801589713,D-,40
2020-07-27,6733,535,6100,273,640,203,2,0.987518153786,-0.2752871276735104,-0.5064332550201325,8.223039148535284,F,0
2020-07-26,2607,216,2117,420,661,204,2,0.988511996801,-0.2704384235221491,-0.483311629457542,10.184980525212946,F,0
2020-07-25,3298,308,1826,595,687,201,6,0.9896171891619999,-0.24597776537521945,-0.4889692272828998,12.377838986553735,F,1
