Date,New Tests Administered,Pos Tests Administered,New Tests Reported,New Cases,Hospitalizations,ICU,New Deaths,Rt Rate,Travel Distance,Visitation,Encounter Density,Social Distance Grade,SNF Cases
2020-11-26,,,,,,,,,,,,,
2020-11-25,,,,1199,499,130,3,1.32164038681,,,,,25
2020-11-24,733,2,15084,837,479,115,2,1.35237315327,,,,,17
2020-11-23,7417,123,12251,1422,463,116,0,1.35122555186,,,,,0
2020-11-22,3485,266,10973,552,428,105,3,1.34901831172,-0.373659015995312,-0.503053058162914,3.61468483048903,F,0
2020-11-21,7129,461,19035,806,380,91,11,1.3463219703,-0.354112207119265,-0.507323352105024,4.67674472589452,F,6
2020-11-20,14894,1052,13213,1169,365,88,3,1.34283650934,-0.333561056745536,-0.524630113206455,4.4990073956212,F,10
2020-11-19,15920,1226,14542,582,333,102,9,1.33866823608,-0.392354966710107,-0.578685294841292,3.56931903287462,D-,8
2020-11-18,17093,1215,21263,628,304,83,2,1.33376436479,-0.347156645489631,-0.50569568784846,3.30792234198159,F,8
2020-11-17,16708,1197,8753,352,291,90,0,1.32790274289,-0.360565806437536,-0.511461948074001,3.491386457353,F,11
2020-11-16,15699,1094,14903,380,270,79,0,1.32084369458,-0.411485616664652,-0.559550186686639,3.16651214850521,D,0
2020-11-15,4789,471,4848,639,257,85,2,1.31250350428,-0.349503028756125,-0.500010209503172,3.87685774225379,F,0
2020-11-14,6337,580,7896,528,242,90,2,1.30318204182,-0.359178339404772,-0.464340356413458,5.69752692027671,F,13
2020-11-13,12264,807,12871,598,235,90,2,1.29275069997,-0.37029975743257,-0.4937960398707,5.03722169872562,F,5
2020-11-12,12109,751,10935,295,244,95,6,1.28088453054,-0.385705529253191,-0.546189370568518,3.91982587984218,F,0
2020-11-11,9846,514,12569,335,251,89,2,1.26807169312,-0.313577169470277,-0.341490361696966,4.93646822957515,F,9
2020-11-10,14922,624,8197,267,244,83,3,1.25432818605,-0.3356631338569,-0.465211651154274,3.91082171773012,F,2
2020-11-09,14293,617,7130,308,224,79,0,1.23996758752,-0.411113666864071,-0.568512543694768,3.30212655947268,D,0
2020-11-08,3908,221,7148,512,205,76,3,1.22516849549,-0.380919421843183,-0.528422631759889,3.46899679754178,F,0
2020-11-07,4665,266,15061,322,201,72,3,1.21011073108,-0.43956051390467,-0.441190090461626,4.29030747724224,D-,1
2020-11-06,10439,512,8050,309,199,72,9,1.19516485022,-0.359870500689863,-0.540001135515626,4.49250438965138,F,0
2020-11-05,10746,552,12034,271,177,72,3,1.18055843819,-0.397576845667462,-0.599731941185796,3.36889880379411,D-,4
2020-11-04,11869,501,9881,237,178,76,7,1.16647417704,-0.362632475430255,-0.515679387284097,3.13606704098072,F,3
2020-11-03,13350,452,7261,306,182,78,1,1.15322908733,-0.348903848652609,-0.50435909604815,3.82707611034688,F,0
2020-11-02,11561,435,5057,183,177,60,-1,1.14103121055,-0.377349184935931,-0.547897811651108,3.88636213559429,F,0
2020-11-01,3324,164,7747,233,183,60,1,1.1297845021,-0.398933271809114,-0.499195116107054,4.30781557023791,F,0
