Date,New Tests Administered,Pos Tests Administered,New Tests Reported,New Cases,Hospitalizations,ICU,New Deaths,SNF Cases
2024-03-16,,,,,43,4,,
2024-03-15,,,,,39,3,,
2024-03-14,,,,,38,3,,
2024-03-13,,,,,36,2,,
2024-03-12,,,,,37,2,,
2024-03-11,,,,,48,5,,
2024-03-10,,,,,51,4,,
2024-03-09,,,,,54,6,,
2024-03-08,,,,,54,7,,
2024-03-07,,,,,49,7,,
2024-03-06,,,,,58,7,,
2024-03-05,,,,,60,6,,
2024-03-04,,,,,63,5,,
2024-03-03,,,,,65,6,,
2024-03-02,,,,,59,7,,
2024-03-01,,,,,68,9,,
2024-02-29,,,,,71,9,,
2024-02-28,,,,,69,11,,
2024-02-27,,,,,72,7,,
2024-02-26,,,,,64,5,,
2024-02-25,,,,,70,7,,
2024-02-24,,,,,68,9,,
2024-02-23,,,,,68,5,,
2024-02-22,,,,,68,5,,
2024-02-21,,,,,85,5,,
2024-02-20,,,,,70,8,,
2024-02-19,,,,,68,7,,
2024-02-18,,,,,69,7,,
2024-02-17,,,,,84,11,,
2024-02-16,,,,,111,14,,
2024-02-15,,,,,109,14,,
2024-02-14,,,,,107,11,,
2024-02-13,,,,,118,12,,
2024-02-12,,,,,121,15,,
2024-02-11,,,,,121,16,,
2024-02-10,,,,,130,16,,
2024-02-09,,,,,128,14,,
2024-02-08,,,,,132,13,,
2024-02-07,,,,,133,16,,
2024-02-06,,,,,113,16,,
2024-02-05,,,,,104,15,,
2024-02-04,,,,,103,14,,
2024-02-03,,,,,133,19,,
2024-02-02,,,,,132,18,,
2024-02-01,,,,,140,16,,
2024-01-31,,,,,135,17,,
2024-01-30,,,,,140,15,,
2024-01-29,,,,,118,17,,
2024-01-28,,,,,121,17,,
2024-01-27,,,,,137,18,,
2024-01-26,,,,,145,15,,
2024-01-25,,,,,153,17,,
2024-01-24,,,,,173,15,,
2024-01-23,,,,,170,15,,
2024-01-22,,,,,175,15,,
2024-01-21,,,,,180,20,,
2024-01-20,,,,,179,21,,
2024-01-19,,,,,180,20,,
2024-01-18,,,,,197,24,,
2024-01-17,,,,,195,24,,
2024-01-16,,,,,192,25,,
2024-01-15,,,,,214,24,,
2024-01-14,,,,,222,25,,
2024-01-13,,,,,226,21,,
2024-01-12,,,,,226,23,,
2024-01-11,,,,,225,22,,
2024-01-10,,,,,185,20,,
2024-01-09,,,,,217,23,,
2024-01-08,,,,,227,22,,
2024-01-07,,,,,212,24,,
2024-01-06,,,,,206,26,,
2024-01-05,,,,,213,27,,
2024-01-04,,,,,232,29,,
2024-01-03,,,,,239,29,,
2024-01-02,,,,,251,31,,
2024-01-01,,,,,242,35,,
2023-12-31,,,,,235,31,,
2023-12-30,,,,,253,27,,
