Date,New Tests Administered,Pos Tests Administered,New Tests Reported,New Cases,Hospitalizations,ICU,New Deaths,SNF Cases
2023-02-09,,,,1443,,,45,17
2023-02-08,1144,82,23921,0,164,19,0,0
2023-02-07,2937,209,0,0,171,18,0,0
2023-02-06,3711,252,0,0,174,20,0,0
2023-02-05,1636,138,0,0,178,17,0,0
2023-02-04,2267,179,0,0,181,20,0,0
2023-02-03,3310,209,0,0,169,18,0,0
2023-02-02,3330,220,0,1400,182,21,57,31
2023-02-01,3564,225,24650,0,170,28,0,0
2023-01-31,4461,236,0,0,182,25,0,0
2023-01-30,4164,266,0,0,161,25,0,0
2023-01-29,1854,128,0,0,164,25,0,0
2023-01-28,2014,143,0,0,160,27,0,0
2023-01-27,3149,189,0,0,182,25,0,0
2023-01-26,3301,225,0,1223,165,29,26,32
2023-01-25,3507,221,23021,0,178,28,0,0
2023-01-24,4558,240,0,0,189,29,0,0
2023-01-23,4137,225,0,0,204,27,0,0
2023-01-22,1646,130,0,0,214,26,0,0
2023-01-21,1920,162,0,0,207,27,0,0
2023-01-20,3127,204,0,0,210,27,0,0
2023-01-19,3692,241,0,1515,219,30,23,24
2023-01-18,4162,236,23494,0,248,28,0,0
2023-01-17,5232,250,0,0,272,34,0,0
2023-01-16,3477,263,0,0,277,32,0,0
2023-01-15,1815,170,0,0,262,30,0,0
2023-01-14,1959,143,0,0,237,29,0,0
2023-01-13,3437,277,0,0,249,28,0,0
2023-01-12,3750,317,0,2246,257,28,36,36
2023-01-11,4578,310,28296,0,278,34,0,0
2023-01-10,4808,304,0,0,300,36,0,0
2023-01-09,4778,386,0,0,301,34,0,0
2023-01-08,2072,231,0,0,290,26,0,0
2023-01-07,2163,310,0,0,284,27,0,0
2023-01-06,3931,416,0,0,320,35,0,0
2023-01-05,4054,425,0,3195,346,29,32,43
2023-01-04,4600,471,23953,0,352,30,0,0
2023-01-03,5766,588,0,0,350,33,0,0
2023-01-02,3335,478,0,0,340,28,0,0
2023-01-01,1373,200,0,0,342,24,0,0
2022-12-31,1893,348,0,0,315,30,0,0
2022-12-30,3546,554,0,0,325,31,0,0
2022-12-29,4191,598,0,3269,348,34,24,120
2022-12-28,4498,696,26136,0,329,47,0,0
2022-12-27,5716,760,0,0,332,43,0,0
2022-12-26,3518,626,0,0,305,31,0,0
2022-12-25,1201,175,0,0,310,34,0,0
2022-12-24,1721,291,0,0,308,32,0,0
2022-12-23,3406,513,0,0,327,37,0,0
2022-12-22,4220,588,0,3360,329,32,42,67
2022-12-21,4574,654,28394,0,338,40,0,0
